dish_id,dish_name,restuarant_id,restaurant_name,dish_type,ingredients,modifiable,cross_contam,vegan,vegetarian,gluten,dairy,tree_nuts,seeds,nightshades,eggs,fish,peanut,shellfish,mollusks,legumes,garlic,soy,corn,wheat,barley,rye,sesame,coffee,buckwheat,lupin,mustard,celery,oat,rice,acerloa,apple,apricot,banana,cherry,dates,fig,grape,kiwi,lychee,mango,melon,orange,peach,pear,persimmon,pineapple,pomegranate,prune,strawberry,tomato,chickpea,lentil,pea,asparagus,avocado,bell_pepper,cabbage,carrot,lettuce,potato,pumpkin,turnip,zucchini,almond,brazil_nut,cashew,chestnut,hazelnut,macadamia,pecan,pine_nut,pistachio,walnut,mustard_seed,poppy_seed,pumpkin_seed,sunflower_seed,cow_milk,goat_milk,sheep_milk,alaska_pollack,carp,cod,dogfish,mackeral,salmon,sole,tuna,crusacean,crab,lobster,shrimp,abalone,horned_turban,limpet,marine_snail,mussel,octopus,oyster,scallop,squid,whelk,beef,chicken,frog,honey,mushroom,mycoprotein
409,Levetiracetam,176,Nlounge,Acura,amet diam in magna bibendum imperdiet nullam orci pede venenatis,false,,false,false,false,false,true,true,true,true,false,true,false,false,true,false,false,true,false,true,false,true,true,true,true,true,false,false,true,false,false,true,true,false,true,true,true,true,false,false,true,false,false,true,false,true,true,false,false,false,true,true,true,true,false,true,true,false,true,false,false,false,true,true,true,true,true,false,true,false,false,false,false,false,true,false,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false,false,true,true,true,false,true,true,true
421,POTASSIUM CITRATE,118,Mycat,Geo,lacinia nisi venenatis tristique fusce congue diam id ornare,false,,true,true,false,false,false,true,true,false,false,false,true,true,true,true,true,false,false,true,false,false,true,true,false,false,false,false,true,false,true,true,false,true,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,true,true,true,false,false,false,true,true,false,false,false,true,true,false,true,false,true,true,true,true,true,false,true,true,true,false,false,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true
985,Neomycin and Polymyxin B Sulfates and Hydrocortisone,68,Youfeed,Mazda,semper porta volutpat quam pede lobortis ligula sit amet eleifend,true,true,false,false,true,true,false,false,true,false,true,false,false,true,false,false,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,false,true,false,true,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,true,false,true,true,true,false,false,true,true,true,true,false,false,true,true,true,false,true,true,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,true,false,true,true,false,true,true
625,Biospec,26,Twitterbridge,Lotus,magna vulputate luctus cum sociis natoque penatibus et magnis,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,false,true,true,false,true,false,false,false,true,true,false,true,true,false,true,false,true,true,false,true,true,false,true,false,false,true,false,false,false,false,true,true,true,false,true,false,true,true,true,false,false,false,true,true,true,false,false,true,false,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,false,false,true
387,Piroxicam,186,Photobean,Ford,ut dolor morbi vel lectus in quam fringilla,false,,false,false,false,false,false,true,false,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,false,true,true,false,false,true,true,true,false,false,true,true,true,false,true,false,false,true,true,true,false,true,false,false,false,false,true,false,true,true,false,false,true,true,false,true,true,true,false,true,false,false,false,false,false,true,true,false,true,false,false,true,false,true,true,true,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true
813,Aveeno Baby Natural Protection Face,63,Fivespan,GMC,velit donec diam neque vestibulum eget vulputate ut,true,true,true,true,false,true,false,false,false,true,false,true,true,false,false,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,true,true,false,true,false,false,true,true,true,false,false,true,false,true,true,false,false,true,false,false,false,true,true,true,false,false,true,false,false,true,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,true,false,true,true,false,false,false,true,false,true,false,false,false,true,false,false,false,false,true,false,false,true,true,false,true,true,true
641,Dologen 325,25,Jabbercube,Toyota,sapien iaculis congue vivamus metus arcu,true,true,false,false,false,true,true,false,true,false,false,false,true,false,true,true,true,true,true,false,false,true,true,false,true,true,false,false,false,false,false,false,true,false,true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false,true,false,true,false,true,true,true,false,true,false,false,false,false,false,true,true,false,true,true,true,true,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,true,false,false,false,false
348,Citalopram Hydrobromide,67,Eare,Ford,at diam nam tristique tortor,false,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true,false,true,true,true,false,true,false,false,true,false,true,true,true,false,true,false,false,false,false,false,true,true,true,false,true,false,false,true,true,true,true,false,true,true,false,false,true,false,false,false,false,true,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,false,true,false,true,true,true,false,true,true,false,false
575,ARNICA MONTANA (Whole Plant),151,Flipbug,Honda,ac lobortis vel dapibus at,true,true,false,false,true,true,true,false,true,true,false,true,true,true,true,false,true,false,true,false,true,false,true,true,false,true,true,true,false,false,false,true,false,true,false,true,false,true,false,true,false,true,true,true,true,false,false,false,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,true,true,true,true,false,true,true,true,false,true,false,true,true,true,false,false,true
645,Tums,144,Meevee,GMC,sit amet eros suspendisse accumsan tortor quis turpis sed ante,false,false,false,true,true,false,false,true,true,true,false,true,true,true,true,false,false,true,false,true,true,true,true,true,false,false,false,false,true,true,true,true,false,false,true,false,false,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,true,false,false,true,true,true,false,false,true,false,false,false,true,true,true,false,true,true,false,false,true,true,false,false,true,false,true,true,false,false,true,false,false,false,false,false,true,false,false,true,false,true,true,true,false,false,false,true,true,false,true,false,false
441,RORIS SHINY CC,120,Bubbletube,Plymouth,nisl nunc rhoncus dui vel,true,false,true,false,false,true,true,false,true,false,false,true,true,false,true,false,true,false,false,true,false,true,true,false,true,true,false,false,true,true,true,true,true,false,true,false,false,true,false,true,true,false,true,true,false,true,false,false,true,false,true,false,false,true,false,true,false,true,false,true,false,false,true,true,false,true,false,true,false,false,true,true,true,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,false,false,true,false,true,true,true,false,false,false,true,false,false,false,true,true,false,true,true,false
305,pure petroleum,38,Voomm,Ford,cursus vestibulum proin eu mi nulla,false,,false,true,false,false,true,true,true,false,true,true,false,true,false,true,false,true,false,true,false,true,false,true,true,true,false,true,false,true,true,false,true,false,false,true,false,false,true,true,true,false,false,true,true,true,true,false,false,false,true,false,true,false,true,true,false,true,true,false,false,true,false,true,false,false,false,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true,false,true,false,true,false,true,true,false,false,true,true,true,false,false,false,true,true,true,true,true,false
914,Equate Ibuprofen,102,Chatterpoint,Lexus,pellentesque ultrices mattis odio donec vitae nisi nam,false,false,false,false,true,true,true,true,false,true,false,true,true,false,true,false,false,true,false,true,true,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,false,true,false,true,true,true,false,false,false,true,false,true,true,false,true,false,false,false,false,false,true,true,false,true,false,false,false,true,true,false,true,true,true,true,false,true,true,false,true,true,false,false,false,false,false
742,Diabetic Siltussin DAS-Na,177,Yambee,Toyota,magnis dis parturient montes nascetur,false,false,true,false,false,false,false,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,false,false,true,false,true,false,true,true,true,true,true,true,true,false,false,true,false,true,false,false,true,false,true,false,false,false,true,true,true,false,false,false,true,true,false,true,false,true,false,false,false,false,true,false,false,false,false,true,true,false,true,true,true,false,true,true,false,false,true,true,true,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,true,false,true,true,true,true,false,false,false,false
884,PVP-Iodine Sepp,178,Abata,Mazda,morbi vestibulum velit id pretium iaculis diam,true,false,false,true,false,false,true,true,true,false,false,false,true,true,true,true,false,false,true,false,true,false,false,false,false,true,false,false,true,false,false,false,true,true,false,true,true,false,true,true,false,false,true,false,true,false,true,false,false,true,false,true,false,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,false,true,false,false,true,true,false,true,true,true,false,true,false,true,true,false,false,true,true,false,false,false,false,false,false,false,true,false,false,true,true,true,true,false,true,false,false,true,true,true
874,Zyprexa,95,Tambee,Dodge,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,true,,false,true,true,true,false,false,true,false,false,false,false,false,true,true,true,false,false,false,true,false,false,true,false,false,true,true,false,true,false,false,false,true,false,false,false,false,true,true,true,true,false,false,false,false,false,true,true,false,false,true,false,true,false,false,true,false,true,true,false,true,true,true,false,true,false,true,true,true,false,false,false,true,true,false,false,true,true,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false,true,true
678,Selenium,44,DabZ,Mitsubishi,lacinia nisi venenatis tristique fusce congue diam,false,true,true,false,true,true,true,true,true,true,false,false,true,false,false,false,true,true,false,false,true,true,false,true,true,false,false,true,false,true,true,false,false,true,false,false,false,true,true,true,false,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,true,true,false,false,true,false,true,true,true,false,false,true,false,true,true,false,true,true,false,false,true,true,true,false,false,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,true,true,false,false,false,true,true
785,STEMPHYLIUM SOLANI,33,Voonix,Mercedes-Benz,nunc proin at turpis a,true,false,false,true,true,false,true,true,false,true,false,false,false,false,false,false,true,true,true,false,false,true,false,true,true,false,false,true,false,true,true,false,true,true,true,true,false,true,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,false,true,false,false,true,true,true,true,false,true,false,true,true,false,true,false,false,true,true,true,true,true,true,false,true,true,true,false,false,false,true,true,true,true,false,false,true,false,false
454,Fenofibrate,25,Rhynoodle,Lincoln,eros vestibulum ac est lacinia,false,,false,true,false,false,true,false,false,false,false,false,true,false,false,true,false,true,true,true,false,false,false,true,true,false,true,true,false,true,false,false,true,true,true,true,true,false,false,false,true,false,true,false,true,false,true,true,false,true,true,false,true,false,false,true,true,false,false,true,true,false,false,false,true,false,false,true,false,false,true,true,false,true,false,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,true,true,false,true,false,false,true,true,false,true,false,true,true,true,false,true,false,true
628,ACETAMINOPHEN,22,Zoomzone,GMC,sed tristique in tempus sit,true,,false,true,true,true,false,false,true,false,true,true,true,false,true,false,false,false,true,false,true,true,true,false,true,false,true,false,false,false,true,false,true,true,false,false,true,true,true,true,false,true,true,true,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,true,false,true,false,true,false,false,true,true,false,false,false,false,true,false,true,true,false,false,true,true,false,true,true,true,true,true,true,true,false,false,false,true,true,false,true,true,false,true,true,true,true,false,true,true,false,true
516,Nu Skin Nu Colour,141,Dabjam,Citroën,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,true,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,false,true,false,true,true,true,false,true,false,false,false,true,true,false,true,false,true,true,false,true,true,false,false,true,false,false,false,false,true,true,true,true,true,true,true,true,false,false,false,true,true,false,true,false,false,false,false,true,true,true,true,false,false,true,true,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true
597,Curad Alcohol,124,Wordify,GMC,praesent id massa id nisl venenatis lacinia aenean sit amet,true,true,true,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,false,true,true,false,false,true,false,true,true,true,true,false,false,true,true,false,true,false,false,true,false,false,false,false,false,true,false,false,true,true,false,false,true,false,false,false,false,false,true,true,false,false,true,false,false,false,true,true,false,false,true,true,true,false,false,false,false,true,true,false,true,false,true,false,true,true,true,false,true,false,true,true,false,true,false,false,true,true,true,true,false,false,true,true
